VNUM	LOCALE_NAME
1	金币
2	快乐服
10	短刀+0
11	短刀+1
12	短刀+2
13	短刀+3
14	短刀+4
15	短刀+5
16	短刀+6
17	短刀+7
18	短刀+8
19	短刀+9
20	长剑+0
21	长剑+1
22	长剑+2
23	长剑+3
24	长剑+4
25	长剑+5
26	长剑+6
27	长剑+7
28	长剑+8
29	长剑+9
30	弯刀+0
31	弯刀+1
32	弯刀+2
33	弯刀+3
34	弯刀+4
35	弯刀+5
36	弯刀+6
37	弯刀+7
38	弯刀+8
39	弯刀+9
40	阔剑+0
41	阔剑+1
42	阔剑+2
43	阔剑+3
44	阔剑+4
45	阔剑+5
46	阔剑+6
47	阔剑+7
48	阔剑+8
49	阔剑+9
50	齿牙刀+0
51	齿牙刀+1
52	齿牙刀+2
53	齿牙刀+3
54	齿牙刀+4
55	齿牙刀+5
56	齿牙刀+6
57	齿牙刀+7
58	齿牙刀+8
59	齿牙刀+9
60	银剑+0
61	银剑+1
62	银剑+2
63	银剑+3
64	银剑+4
65	银剑+5
66	银剑+6
67	银剑+7
68	银剑+8
69	银剑+9
70	青风剑+0
71	青风剑+1
72	青风剑+2
73	青风剑+3
74	青风剑+4
75	青风剑+5
76	青风剑+6
77	青风剑+7
78	青风剑+8
79	青风剑+9
80	寒风剑+0
81	寒风剑+1
82	寒风剑+2
83	寒风剑+3
84	寒风剑+4
85	寒风剑+5
86	寒风剑+6
87	寒风剑+7
88	寒风剑+8
89	寒风剑+9
90	麒麟刀+0
91	麒麟刀+1
92	麒麟刀+2
93	麒麟刀+3
94	麒麟刀+4
95	麒麟刀+5
96	麒麟刀+6
97	麒麟刀+7
98	麒麟刀+8
99	麒麟刀+9
100	倚天剑+0
101	倚天剑+1
102	倚天剑+2
103	倚天剑+3
104	倚天剑+4
105	倚天剑+5
106	倚天剑+6
107	倚天剑+7
108	倚天剑+8
109	倚天剑+9
110	碧血剑+0
111	碧血剑+1
112	碧血剑+2
113	碧血剑+3
114	碧血剑+4
115	碧血剑+5
116	碧血剑+6
117	碧血剑+7
118	碧血剑+8
119	碧血剑+9
120	苍穹剑+0
121	苍穹剑+1
122	苍穹剑+2
123	苍穹剑+3
124	苍穹剑+4
125	苍穹剑+5
126	苍穹剑+6
127	苍穹剑+7
128	苍穹剑+8
129	苍穹剑+9
130	半月刀+0
131	半月刀+1
132	半月刀+2
133	半月刀+3
134	半月刀+4
135	半月刀+5
136	半月刀+6
137	半月刀+7
138	半月刀+8
139	半月刀+9
140	龙虎刀+0
141	龙虎刀+1
142	龙虎刀+2
143	龙虎刀+3
144	龙虎刀+4
145	龙虎刀+5
146	龙虎刀+6
147	龙虎刀+7
148	龙虎刀+8
149	龙虎刀+9
150	夺魂刀+0
151	夺魂刀+1
152	夺魂刀+2
153	夺魂刀+3
154	夺魂刀+4
155	夺魂刀+5
156	夺魂刀+6
157	夺魂刀+7
158	夺魂刀+8
159	夺魂刀+9
160	封神刀+0
161	封神刀+1
162	封神刀+2
163	封神刀+3
164	封神刀+4
165	封神刀+5
166	封神刀+6
167	封神刀+7
168	封神刀+8
169	封神刀+9
170	天煞刀+0
171	天煞刀+1
172	天煞刀+2
173	天煞刀+3
174	天煞刀+4
175	天煞刀+5
176	天煞刀+6
177	天煞刀+7
178	天煞刀+8
179	天煞刀+9
180	伏牺刀+0
181	伏牺刀+1
182	伏牺刀+2
183	伏牺刀+3
184	伏牺刀+4
185	伏牺刀+5
186	伏牺刀+6
187	伏牺刀+7
188	伏牺刀+8
189	伏牺刀+9
190	龙颚闪+0
191	龙颚闪+1
192	龙颚闪+2
193	龙颚闪+3
194	龙颚闪+4
195	龙颚闪+5
196	龙颚闪+6
197	龙颚闪+7
198	龙颚闪+8
199	龙颚闪+9
200	九龙神剑+0
201	九龙神剑+1
202	九龙神剑+2
203	九龙神剑+3
204	九龙神剑+4
205	九龙神剑+5
206	九龙神剑+6
207	九龙神剑+7
208	九龙神剑+8
209	九龙神剑+9
210	落梅血剑+0
211	落梅血剑+1
212	落梅血剑+2
213	落梅血剑+3
214	落梅血剑+4
215	落梅血剑+5
216	落梅血剑+6
217	落梅血剑+7
218	落梅血剑+8
219	落梅血剑+9
220	天山苍穹剑+0
221	天山苍穹剑+1
222	天山苍穹剑+2
223	天山苍穹剑+3
224	天山苍穹剑+4
225	天山苍穹剑+5
226	天山苍穹剑+6
227	天山苍穹剑+7
228	天山苍穹剑+8
229	天山苍穹剑+9
230	天蚕游丝剑+0
231	天蚕游丝剑+1
232	天蚕游丝剑+2
233	天蚕游丝剑+3
234	天蚕游丝剑+4
235	天蚕游丝剑+5
236	天蚕游丝剑+6
237	天蚕游丝剑+7
238	天蚕游丝剑+8
239	天蚕游丝剑+9
240	七窍破魂剑+0
241	七窍破魂剑+1
242	七窍破魂剑+2
243	七窍破魂剑+3
244	七窍破魂剑+4
245	七窍破魂剑+5
246	七窍破魂剑+6
247	七窍破魂剑+7
248	七窍破魂剑+8
249	七窍破魂剑+9
250	怒海狂潮剑+0
251	怒海狂潮剑+1
252	怒海狂潮剑+2
253	怒海狂潮剑+3
254	怒海狂潮剑+4
255	怒海狂潮剑+5
256	怒海狂潮剑+6
257	怒海狂潮剑+7
258	怒海狂潮剑+8
259	怒海狂潮剑+9
260	晨星弑月剑+0
261	晨星弑月剑+1
262	晨星弑月剑+2
263	晨星弑月剑+3
264	晨星弑月剑+4
265	晨星弑月剑+5
266	晨星弑月剑+6
267	晨星弑月剑+7
268	晨星弑月剑+8
269	晨星弑月剑+9
270	五虎伏魔剑+0
271	五虎伏魔剑+1
272	五虎伏魔剑+2
273	五虎伏魔剑+3
274	五虎伏魔剑+4
275	五虎伏魔剑+5
276	五虎伏魔剑+6
277	五虎伏魔剑+7
278	五虎伏魔剑+8
279	五虎伏魔剑+9
280	骇地惊天剑+0
281	骇地惊天剑+1
282	骇地惊天剑+2
283	骇地惊天剑+3
284	骇地惊天剑+4
285	骇地惊天剑+5
286	骇地惊天剑+6
287	骇地惊天剑+7
288	骇地惊天剑+8
289	骇地惊天剑+9
290	青焰刀+0
291	青焰刀+1
292	青焰刀+2
293	青焰刀+3
294	青焰刀+4
295	青焰刀+5
296	青焰刀+6
297	青焰刀+7
298	青焰刀+8
299	青焰刀+9
460	龙鳞露陌刀+0
461	龙鳞露陌刀+1
462	龙鳞露陌刀+2
463	龙鳞露陌刀+3
464	龙鳞露陌刀+4
465	龙鳞露陌刀+5
466	龙鳞露陌刀+6
467	龙鳞露陌刀+7
468	龙鳞露陌刀+8
469	龙鳞露陌刀+9
470	倚天封魔刀+0
471	倚天封魔刀+1
472	倚天封魔刀+2
473	倚天封魔刀+3
474	倚天封魔刀+4
475	倚天封魔刀+5
476	倚天封魔刀+6
477	倚天封魔刀+7
478	倚天封魔刀+8
479	倚天封魔刀+9
1000	匕首+0
1001	匕首+1
1002	匕首+2
1003	匕首+3
1004	匕首+4
1005	匕首+5
1006	匕首+6
1007	匕首+7
1008	匕首+8
1009	匕首+9
1010	刃剑+0
1011	刃剑+1
1012	刃剑+2
1013	刃剑+3
1014	刃剑+4
1015	刃剑+5
1016	刃剑+6
1017	刃剑+7
1018	刃剑+8
1019	刃剑+9
1020	牙剑+0
1021	牙剑+1
1022	牙剑+2
1023	牙剑+3
1024	牙剑+4
1025	牙剑+5
1026	牙剑+6
1027	牙剑+7
1028	牙剑+8
1029	牙剑+9
1030	武刃+0
1031	武刃+1
1032	武刃+2
1033	武刃+3
1034	武刃+4
1035	武刃+5
1036	武刃+6
1037	武刃+7
1038	武刃+8
1039	武刃+9
1040	蛇影+0
1041	蛇影+1
1042	蛇影+2
1043	蛇影+3
1044	蛇影+4
1045	蛇影+5
1046	蛇影+6
1047	蛇影+7
1048	蛇影+8
1049	蛇影+9
1050	闪光+0
1051	闪光+1
1052	闪光+2
1053	闪光+3
1054	闪光+4
1055	闪光+5
1056	闪光+6
1057	闪光+7
1058	闪光+8
1059	闪光+9
1060	鬼切+0
1061	鬼切+1
1062	鬼切+2
1063	鬼切+3
1064	鬼切+4
1065	鬼切+5
1066	鬼切+6
1067	鬼切+7
1068	鬼切+8
1069	鬼切+9
1070	凤翔+0
1071	凤翔+1
1072	凤翔+2
1073	凤翔+3
1074	凤翔+4
1075	凤翔+5
1076	凤翔+6
1077	凤翔+7
1078	凤翔+8
1079	凤翔+9
1080	龙牙+0
1081	龙牙+1
1082	龙牙+2
1083	龙牙+3
1084	龙牙+4
1085	龙牙+5
1086	龙牙+6
1087	龙牙+7
1088	龙牙+8
1089	龙牙+9
1090	残影+0
1091	残影+1
1092	残影+2
1093	残影+3
1094	残影+4
1095	残影+5
