VNUM	LOCALE_NAME
101	幼狼
102	灰狼
103	灰狼首领
104	青狼
105	青狼首领
106	雪狼
107	雪狼首领
108	野猪
109	野猪首领
110	幼熊
111	灰熊
112	黑熊
113	棕熊
114	老虎
115	白虎
131	诅咒幼狼
132	诅咒灰狼首领
133	诅咒青狼
134	诅咒青狼首领
135	诅咒雪狼
136	诅咒雪狼首领
137	诅咒野猪
138	诅咒野猪首领
139	诅咒幼熊
140	诅咒灰熊
141	诅咒黑熊
142	诅咒棕熊
143	诅咒老虎
144	诅咒白虎
151	真青狼首领
152	真灰狼首领
153	赤血野猪
154	赤血棕熊
155	真白虎
171	饥饿幼狼
172	饥饿灰狼
173	饥饿灰狼首领
174	饥饿青狼
175	饥饿青狼首领
176	饥饿雪狼
177	饥饿雪狼首领
178	饥饿野猪
179	饥饿野猪首领
180	饥饿幼熊
181	饥饿灰熊
182	饥饿黑熊
183	饥饿棕熊
184	饥饿老虎
185	饥饿白虎
191	狼王
192	野猪王
193	熊王
194	赤炼金虎
301	剑白刺客
302	白莲射手
303	白莲巡守
304	白莲守卫
331	红莲刺客
332	红莲射手
333	红莲巡守
334	红莲守卫
351	真剑白刺客
352	真白莲射手
353	真白莲巡守
354	真白莲守卫
391	白莲魅影
392	白莲青尘
393	白莲断刀
394	白莲域首
395	真白莲魅影
396	真白莲青尘
397	真白莲断刀
398	真白莲域首
401	黑风刀兵
402	黑风双镰兵
403	黑风射手
404	黑风力头目
405	黑风斩头目
406	黑风斧头目
431	青风刀兵
432	青风双镰兵
433	青风射手
434	青风力头目
435	青风斩头目
436	青风斧头目
451	真黑风刀兵
452	真黑风双镰兵
453	真黑风射手
454	真黑风力头目
455	真黑风斩头目
456	真黑风斧头目
491	黑风行者
492	黑风左护法
493	黑风右护法
494	黑风寨主
501	五狼兵
502	五狼鬼爪
503	五狼射手
504	五狼锤卫
531	五狼兵
532	五狼鬼爪
533	五狼射手
534	五狼锤卫
551	真五狼兵
552	真五狼鬼爪
553	真五狼射手
554	真五狼锤卫
591	五狼霸王
595	终极五狼射手
601	鬼族兵
602	鬼族哨兵
603	鬼族长枪兵
604	鬼族法师
631	鬼族兵
632	鬼族哨兵
633	鬼族长枪兵
634	鬼族法师
635	鬼族将军
636	鬼族屠刀
637	鬼族护法
651	邪恶鬼族兵
